trait,candidate,strongest_baseline,selection_rule,family_status,n_fruits,n_cultivars,candidate_rmse,strongest_baseline_rmse,relative_rmse_improvement_pct,bootstrap_ci95_low_pct,bootstrap_ci95_high_pct,bootstrap_probability_better,p_raw_one_sided,p_bh_fdr,p_holm,simultaneous_ci95_low_pct,simultaneous_ci95_high_pct,supported_raw_0_05,supported_bh_fdr_0_05,supported_holm_0_05,supported_simultaneous_0_05,simultaneous_critical_value
AF,PlumSPECTRA final,No-neural B50,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,30.10587966422329,30.669045063778427,1.836266497323257,0.92790946662426,3.235517519712448,0.999998,2.999997000003e-06,7.1999928000072e-06,2.3999976000024e-05,0.16623053903315688,3.506302455613357,True,True,True,True,2.8638789653778076
MFF,PlumSPECTRA final,No-neural B50,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,38.92281953082825,39.52787645602635,1.5307094118025988,0.6993092566728591,2.093567681312561,1.0,9.99999000001e-07,2.9999970000030004e-06,1.1999988000012002e-05,0.5126202365782946,2.548798587026903,True,True,True,True,2.8638789653778076
F6,PlumSPECTRA final,Nested RBF-SVR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,45.633245130781795,46.237568997082185,1.3069974901546537,0.24808156080543997,2.2382286489009857,0.992251,0.0077499922500077496,0.0092999907000093,0.02324997675002325,-0.1634403941760958,2.7774353744854032,True,True,True,False,2.8638789653778076
FW,PlumSPECTRA final,Cultivar-aware PLSR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4843,15,12.16515743624244,12.392496893681722,1.834492753072144,1.1331626057624817,2.7856534719467163,1.0,9.99999000001e-07,2.9999970000030004e-06,1.1999988000012002e-05,0.6250030498937382,3.04398245625055,True,True,True,True,2.8638789653778076
LS,PlumSPECTRA final,Nested RBF-SVR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,70.50224977963614,72.82488268639709,3.1893397161555432,2.160900115966797,4.240916395187378,1.0,9.99999000001e-07,2.9999970000030004e-06,1.1999988000012002e-05,1.6443347522807263,4.73434468003036,True,True,True,True,2.8638789653778076
LW,PlumSPECTRA final,Nested RBF-SVR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,534.9446007908733,543.367218094603,1.5500782938773572,0.6569415897130967,2.340508222579956,0.999796,0.000204999795000205,0.0003074996925003075,0.001024998975001025,0.31191601474832886,2.7882405730063855,True,True,True,True,2.8638789653778076
pH,PlumSPECTRA final,Nested RBF-SVR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4843,15,0.36121948404371385,0.3630788450628649,0.5121094341999287,-0.12895918712019921,1.0314639031887054,0.943318,0.056682943317056686,0.056682943317056686,0.11074788925211075,-0.3422984723323589,1.3665173407322162,False,False,False,False,2.8638789653778076
PRW,PlumSPECTRA final,Nested RBF-SVR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,413.5152471591815,423.44504969306433,2.345003806534159,1.2822056353092193,3.599961560964585,0.999934,6.6999933000067e-05,0.00011485702800011486,0.000401999598000402,0.6523295273212075,4.03767808574711,True,True,True,True,2.8638789653778076
RD,PlumSPECTRA final,No-neural B50,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,0.497071891135674,0.5076853989605506,2.0905678687248104,1.0939134389162064,3.3809243679046634,0.999976,2.4999975000025e-05,4.999995000005e-05,0.000174999825000175,0.4054036555442684,3.7757320819053524,True,True,True,True,2.8638789653778076
PFD,PlumSPECTRA final,Nested RBF-SVR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,158.6578469929512,160.2139067985125,0.9712389121864704,-0.16474055163562298,2.184493637084961,0.944627,0.055373944626055376,0.056682943317056686,0.11074788925211075,-0.7962195266868206,2.7386973510597614,False,False,False,False,2.8638789653778076
SRF,PlumSPECTRA final,Nested RBF-SVR,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4853,15,163.48841317306588,166.22358729060173,1.6454789372064615,0.3257810451090336,3.2252702474594117,0.997179,0.002821997178002822,0.0037626629040037624,0.011287988712011287,-0.6034434108159994,3.8944012852289225,True,True,True,False,2.8638789653778076
SSC,PlumSPECTRA final,No-neural B50,"lowest pooled out-of-fold RMSE among global PLSR, cultivar-aware PLSR, nested RBF-SVR, and B50",post-hoc conservative 12-contrast sensitivity,4843,15,1.5761790361608938,1.5934876479789826,1.0862093496640037,0.5927878618240356,1.6781957000494008,1.0,9.99999000001e-07,2.9999970000030004e-06,1.1999988000012002e-05,0.29142230037048567,1.8809963989575218,True,True,True,True,2.8638789653778076
